NLC,Estacion,Lineas,London Underground,Elizabeth Line,London Overground,DLR,Metro_nocturno?
500,Acton Town,District,Yes,No,No,No,Yes
501,Barbican, Piccadilly,Yes,No,No,No,No
502,Aldgate,Circle,Yes,No,No,No,No
503,Aldgate East, Hammersmith & City,Yes,No,No,No,No
504,Stratford International DLR, Hammersmith & City,No,No,No,Yes,No
505,Alperton, Metropolitan,Yes,No,No,No,No
506,Amersham,Circle,Yes,No,No,No,No
507,Angel, Metropolitan,Yes,No,No,No,No
508,Archway,District,Yes,No,No,No,Yes
509,Arnos Grove, Hammersmith & City,Yes,No,No,No,Yes
510,Arsenal,Piccadilly,Yes,No,No,No,Yes
511,Baker Street,Metropolitan,Yes,No,No,No,Yes
512,Balham LU,Northern,Yes,No,No,No,Yes
513,Bank and Monument,Northern,Yes,No,No,Yes,Yes
514,Barking,Piccadilly,Yes,No,Yes,No,No
515,Barkingside,Piccadilly,Yes,No,No,No,Yes
516,Barons Court,Bakerloo,Yes,No,No,No,Yes
517,Bayswater, Circle,Yes,No,No,No,No
518,Becontree, Jubilee,Yes,No,No,No,No
519,Belsize Park, Hammersmith & City,Yes,No,No,No,Yes
520,Bethnal Green LU, Metropolitan,Yes,No,No,No,Yes
521,Blackfriars LU,Northern,Yes,No,No,No,No
522,Blackhorse Road,Central,Yes,No,Yes,No,Yes
523,King George V,Metropolitan,No,No,No,Yes,No
524,Bond Street, Circle,Yes,Yes,No,No,Yes
525,Borough, District,Yes,No,No,No,No
526,Boston Manor, DLR,Yes,No,No,No,Yes
527,Bounds Green, Northern,Yes,No,No,No,Yes
528,Bow Road, Waterloo & City,Yes,No,No,No,No
529,Brent Cross,District,Yes,No,No,No,Yes
530,Bromley-by-Bow, Hammersmith & City,Yes,No,No,No,No
531,Buckhurst Hill, London Overground,Yes,No,No,No,Yes
532,Burnt Oak,Central,Yes,No,No,No,Yes
533,London City Airport, Piccadilly,No,No,No,Yes,No
534,Caledonian Road,District,Yes,No,No,No,Yes
535,Camden Town, Piccadilly,Yes,No,No,No,Yes
536,Cannon Street LU,Circle,Yes,No,No,No,No
537,Canons Park, District,Yes,No,No,No,Yes
538,Pontoon Dock,Central,No,No,No,Yes,No
