NLC,Año,Flujo_Pasajeros
500,2007,5773625
500,2009,5459521
500,2014,6059017
500,2011,5462387
500,2016,6274649
500,2017,5731527
500,2018,5794685
500,2019,6186555
500,2020,3568528
500,2008,5816798
500,2012,5584934
500,2015,6235045
500,2010,5428316
500,2021,2902697
500,2013,5748994
501,2017,11303155
501,2020,2537108
501,2014,11444738
501,2013,10464425
501,2021,3467856
501,2015,11283478
501,2012,9850562
501,2008,10030975
501,2010,8873092
501,2019,10467974
501,2018,11160091
501,2016,11973122
501,2011,9228704
501,2009,9261249
501,2007,9558748
502,2016,8009494
502,2017,8459234
502,2013,6877712
502,2021,3525128
502,2018,9218140
502,2019,9956600
502,2014,7221566
502,2011,6235513
502,2009,5974176
502,2007,5572412
502,2008,6243135
502,2012,6647283
502,2020,2775844
502,2015,7527810
502,2010,6026534
503,2010,8974956
503,2008,8152761
503,2020,3144899
503,2019,14148654
503,2012,10134021
503,2014,12248009
503,2009,9047885
503,2007,7657338
503,2015,12839311
503,2013,11663144
503,2021,5611130
503,2016,13434630
503,2011,9157483
503,2018,13707738
503,2017,13262408
504,2009,-1
504,2015,-1
504,2018,3689702
504,2020,2283993
504,2014,-1
504,2012,-1
504,2019,3931217
504,2007,-1
504,2010,-1
504,2016,-1
504,2021,2623668
504,2013,-1
504,2017,3565490
504,2008,-1
504,2011,-1
505,2021,1345253
505,2016,3174845
505,2017,2896391
505,2019,2858439
505,2018,2796159
505,2010,2942987
505,2014,3171235
505,2012,2893236
505,2007,3005522
505,2013,2956888
505,2009,3044399
505,2008,3072270
505,2011,2945259
505,2015,3205455
505,2020,2064990
506,2011,2099560
506,2020,863361
506,2012,2097954
506,2015,2287149
506,2013,2041139
506,2021,946577
506,2019,2350099
506,2018,2130207
506,2017,2215502
506,2010,2109415
506,2007,2341347
506,2008,2171944
506,2009,2088199
506,2014,2439993
506,2016,2360700
507,2008,17824269
507,2007,16625983
507,2017,18236123
507,2019,17705761
507,2014,19217171
507,2010,17821157
507,2009,18051985
507,2011,17775047
507,2015,19756365
507,2021,7258744
507,2013,18930868
507,2012,18578717
507,2020,5255371
507,2018,17661269
507,2016,20100806
508,2010,8053512
508,2019,8772643
508,2014,8943726
508,2016,9940993
508,2018,8608964
508,2017,8806365
508,2013,8169485
508,2009,8048465
508,2011,8081810
508,2015,9794439
508,2021,4027456
508,2020,4429802
508,2012,8059174
508,2007,7738419
508,2008,8236817
509,2016,4645869
509,2010,4096044
509,2008,4250148
509,2009,4311751
509,2007,4314491
509,2017,4372042
509,2012,4155802
509,2018,4263555
509,2014,4713904
509,2020,2340827
509,2015,4550587
509,2011,4159371
509,2013,4479004
509,2019,4436265
509,2021,1963343
510,2008,3212954
510,2011,3067815
510,2009,3051762
510,2007,2734787
510,2019,2768340
510,2014,2900614
510,2017,2671088
510,2012,3017544
510,2016,3012524
510,2010,2977319
510,2021,1209093
510,2018,2651488
510,2020,999026
510,2013,3091593
510,2015,2802635
511,2014,32175422
511,2012,27744272
511,2011,27017574
511,2007,24009889
511,2017,27340420
511,2009,25636684
511,2008,24605375
511,2018,27349471
511,2019,28073310
511,2016,29754860
511,2010,26275325
511,2021,11147642
511,2020,8475976
511,2015,29379132
511,2013,28097997
512,2016,14637993
512,2013,12051320
512,2008,11560006
512,2019,13064682
512,2009,11549624
512,2007,11336548
512,2017,13584305
512,2011,11459978
512,2021,5356512
512,2014,13471439
512,2018,12706683
512,2012,11904117
512,2015,14178948
512,2020,5241275
512,2010,10897161
513,2015,57512971
513,2012,47749950
513,2010,43495766
513,2007,41882819
513,2013,48884756
513,2008,42823864
513,2020,15625280
513,2021,30132853
513,2016,64262200
513,2014,52306067
513,2009,40655415
513,2018,86393639
513,2019,92291003
513,2011,47804941
513,2017,90922111
514,2007,12787835
514,2016,15860320
514,2013,15224058
514,2020,17562493
514,2014,15592496
514,2017,19511102
514,2009,13045782
514,2019,21622036
514,2018,20580625
514,2008,11676598
514,2021,11353650
514,2012,14514735
514,2015,16055212
514,2011,13955938
514,2010,13719922
515,2008,952740
515,2021,647203
515,2019,1575379
515,2009,975225
515,2016,1633262
515,2018,1557996
515,2014,1351966
515,2013,1241272
515,2020,915270
515,2015,1406286
515,2010,1080144
515,2017,1543740
515,2007,859251
515,2011,1156751
515,2012,1118756
516,2017,6769847
516,2010,6456132
516,2020,3127255
516,2009,6349273
516,2019,6821846
516,2018,6689966
516,2016,7207423
516,2021,2900237
516,2014,7500664
516,2008,6778341
516,2013,7155458
516,2007,6698321
516,2011,6535580
516,2015,7295186
516,2012,6809659
517,2012,5541858
517,2010,5519178
517,2013,5493688
517,2017,4437691
517,2009,6439576
517,2019,4253914
517,2018,4335552
517,2014,5691226
517,2016,4756028
517,2020,1086943
517,2008,5982534
517,2021,1498957
517,2011,5100938
517,2007,6042651
517,2015,5219590
518,2012,2837652
518,2007,2314840
518,2008,2547549
518,2018,3477091
518,2021,1759768
518,2020,2756262
518,2010,2493471
518,2017,3458723
518,2013,3039868
518,2016,3545530
518,2014,3395647
518,2019,3461331
518,2011,2759530
518,2015,3490288
518,2009,2420863
519,2018,5811597
519,2014,5927817
519,2016,6482865
519,2010,6168717
519,2017,5926276
519,2013,5842725
519,2021,2609939
519,2008,6144764
519,2011,5747717
519,2019,5679733
519,2009,6080640
519,2007,5632841
519,2012,5806568
519,2020,2769409
519,2015,6155599
520,2018,14171711
520,2015,16164736
520,2019,14920047
520,2014,16076636
520,2016,16272340
520,2013,15272389
520,2010,15059643
520,2017,14720488
520,2021,6322604
520,2020,6849607
520,2008,14272056
520,2011,15086509
520,2009,15110104
520,2012,15055906
520,2007,14095386
521,2007,12621265
521,2012,9282172
521,2008,13137897
521,2014,13142562
521,2020,2894042
521,2017,14159864
521,2018,14288212
521,2021,4795990
521,2010,0
521,2009,0
521,2011,0
521,2015,13702647
521,2019,15533461
521,2013,12087967
521,2016,15449362
522,2021,6536601
522,2010,6101764
522,2019,12365373
522,2020,7413637
522,2015,8360092
522,2013,7898300
522,2016,8452553
522,2011,6468586
522,2017,10946261
522,2009,5679321
522,2008,6093247
522,2012,7304059
522,2018,11515668
522,2014,8633193
522,2007,6178833
523,2010,-1
523,2012,-1
523,2013,-1
523,2014,-1
523,2011,-1
523,2019,1859583
523,2017,1647718
523,2008,-1
523,2020,1402423
523,2015,-1
523,2016,-1
523,2009,-1
523,2018,1705909
523,2021,1237801
523,2007,-1
524,2012,38065150
524,2007,36695785
524,2008,36406455
524,2010,36868627
524,2021,15694939
524,2018,36165875
524,2020,9682506
524,2014,19799777
524,2013,39648205
524,2017,36853006
524,2016,39528650
524,2009,36850571
524,2019,37487361
524,2011,36022087
524,2015,37119274
525,2007,4138441
525,2017,5581683
525,2008,4140747
525,2014,5309004
525,2010,5088277
525,2020,1471942
525,2018,5413775
525,2021,2066434
525,2013,4887560
525,2009,4869438
525,2012,4840588
525,2011,4573373
525,2015,5358351
525,2016,5873875
525,2019,5547448
526,2021,879895
526,2010,1872411
526,2013,2077572
526,2018,2066569
526,2016,2322687
526,2019,2185122
526,2007,1863704
526,2012,1951651
526,2011,1887897
526,2015,2242854
526,2009,1934689
526,2017,2170793
526,2008,1983961
526,2014,2278211
526,2020,1041242
527,2017,6057231
527,2020,2953366
527,2015,6462300
527,2012,5738629
527,2009,5554259
527,2011,5592642
527,2013,6161808
527,2010,5302175
527,2016,6615420
527,2018,5749650
527,2014,6564869
527,2021,2509255
527,2008,5777529
527,2007,5497937
527,2019,5990306
528,2019,5229778
528,2015,6102443
528,2011,5081976
528,2010,5302929
528,2009,5083967
528,2018,5327619
528,2020,2660676
528,2017,5362773
528,2013,5601781
528,2016,5645547
528,2014,5765573
528,2008,5315977
528,2021,2257180
528,2007,4590692
528,2012,5180394
529,2017,2392436
529,2016,2493412
529,2009,2142167
529,2008,2190859
529,2014,2400107
529,2012,2125797
529,2015,2566618
529,2018,2396791
529,2013,2135435
529,2010,2137758
529,2007,1892404
529,2011,2209328
529,2019,2406723
529,2020,1348186
529,2021,1071927
530,2015,3685840
530,2012,2628177
530,2011,2750832
530,2019,4229591
530,2007,2652435
530,2021,2030519
530,2016,3789045
530,2014,3414885
530,2020,2575616
530,2009,2406403
530,2018,4093177
530,2010,2620645
530,2013,3210211
530,2017,3569032
530,2008,2745801
531,2009,1721626
531,2008,1597036
531,2015,2063838
531,2019,1856050
531,2012,1910147
531,2011,1849690
531,2007,1548767
531,2016,2188937
531,2013,1943928
531,2018,1844536
531,2021,1072751
531,2010,1794127
531,2014,2061303
531,2020,862044
531,2017,2195929
532,2020,2926900
532,2008,3513361
532,2021,1912270
532,2010,3680047
532,2014,4083381
532,2013,3614445
532,2009,3643813
532,2011,3787725
532,2019,4190341
532,2016,4519973
532,2012,3623525
532,2007,3173136
532,2015,4383772
532,2018,4208566
532,2017,4264418
533,2007,-1
533,2010,-1
533,2021,1601328
533,2017,4411647
533,2018,4501203
533,2016,-1
533,2009,-1
533,2012,-1
533,2015,-1
533,2013,-1
533,2008,-1
533,2020,851219
533,2019,4683701
533,2014,-1
533,2011,-1
534,2014,6003408
534,2008,4932319
534,2020,2343114
534,2021,2421295
534,2015,6126683
534,2010,5091188
534,2018,5226968
534,2017,5426372
534,2016,5725549
534,2011,5273722
534,2007,5333034
534,2012,5250363
534,2019,5603533
534,2013,5939278
534,2009,5083008
535,2021,9118497
535,2008,19643233
535,2018,19628395
535,2010,20962210
535,2016,22884901
535,2017,21239992
535,2015,21898497
535,2013,22515351
535,2014,23369124
535,2020,5509540
535,2012,21614759
535,2007,18777443
535,2019,20499697
535,2009,19673751
535,2011,20985400
536,2017,8996282
536,2021,2147772
536,2020,1559861
536,2014,5299813
536,2019,7108243
536,2008,4540496
536,2018,7399745
536,2010,3947306
536,2016,8983249
536,2015,7485065
536,2013,4644524
536,2007,4109347
536,2009,3932511
536,2012,4088480
536,2011,4047494
537,2016,2925484
537,2013,2378098
537,2014,2597229
537,2021,1249231
537,2017,2918453
537,2020,1501564
537,2015,2786006
537,2010,1613367
537,2018,2893090
537,2008,1560563
537,2011,1815525
537,2019,2981768
537,2012,1983360
537,2009,1646258
537,2007,1536223
538,2013,-1
538,2007,-1
538,2019,3175895
538,2011,-1
538,2010,-1
538,2012,-1
538,2014,-1
538,2020,1285216
538,2015,-1
538,2008,-1
538,2018,2628700
538,2017,1609537
538,2021,1794022
538,2009,-1
538,2016,-1
539,2009,1107806
539,2010,1095488
539,2020,818368
539,2017,1594941
539,2007,1307003
539,2008,1190880
539,2011,1188207
539,2019,1766734
539,2014,1476940
539,2016,1488465
539,2021,736602
539,2015,1437534
539,2013,1111515
539,2018,1789548
539,2012,1267837
540,2018,5232138
540,2021,2195398
540,2019,5448344
540,2008,4853951
