NLC,Estacion,Entradas_semana,Entradas_sabado,Entradas_domingo,Salidas_semana,Salidas_sabado,Salidas_domingo,Entradas_salidas_anual_millones
500,Acton Town,13750,5657,3961,13577,5559,4174,2.9
501,Barbican,16627,4749,3030,17784,5183,3168,3.47
502,Aldgate,14728,5035,3585,18266,7453,4595,3.53
503,Aldgate East,26021,13617,9980,24866,12951,8261,5.61
504,Stratford International DLR,11465,5079,3662,10067,4600,3488,2.62
505,Alperton,6230,2543,1654,6672,2537,1732,1.35
506,Amersham,4633,1745,1089,4490,1545,1063,0.95
507,Angel,33835,14286,9694,36542,15229,9890,7.26
508,Archway,20008,8148,5549,18369,7017,5273,4.03
509,Arnos Grove,9518,4257,3067,8720,3835,2955,1.96
510,Arsenal,5998,2911,2050,5061,2454,2036,1.21
511,Baker Street,52780,20714,14374,53881,21177,14622,11.15
512,Balham LU,24533,12223,7520,24703,11728,7755,5.36
513,Bank and Monument,82998,19494,11930,89580,22558,12430,17.66
513,Bank and Monument,46901,17643,13154,54714,21435,14979,12.48
514,Barking,9039,3675,2709,8649,3165,2463,2.08
514,Barking,44925,17313,11593,44560,16920,11482,9.27
515,Barkingside,3122,1046,671,3233,1068,707,0.65
516,Barons Court,14256,5245,3668,13418,4663,3691,2.9
517,Bayswater,6580,4188,3249,6534,4046,2677,1.5
518,Becontree,8819,3042,1905,8538,2832,1895,1.76
519,Belsize Park,12914,4499,3351,12346,4253,3272,2.61
520,Bethnal Green LU,30108,14334,10276,28353,13756,9733,6.32
521,Blackfriars LU,22485,8879,6667,21596,7897,6099,4.8
522,Blackhorse Road,24386,10422,6999,22643,9234,6748,4.99
522,Blackhorse Road,5892,2757,1659,6684,3234,1882,1.55
523,King George V,5279,1866,1324,5286,1806,1359,1.24
524,Bond Street,70525,36512,21311,71827,36422,20770,15.69
525,Borough,9882,4177,2607,9854,4264,2664,2.07
526,Boston Manor,4186,1710,1149,4234,1549,1188,0.88
527,Bounds Green,12017,5278,3722,11474,4854,3702,2.51
528,Bow Road,11140,4336,2946,10393,3910,3032,2.26
529,Brent Cross,5083,1778,1643,4901,1705,1619,1.07
530,Bromley-by-Bow,10095,3431,2535,9728,3113,2556,2.03
531,Buckhurst Hill,5196,2124,1203,4972,1917,1187,1.07
532,Burnt Oak,9469,3345,2429,9070,3144,2377,1.91
533,London City Airport,7396,1490,2237,7103,1329,2114,1.6
534,Caledonian Road,12017,4862,3482,10985,4352,3405,2.42
535,Camden Town,36853,28059,18816,39700,31247,19218,9.12
536,Cannon Street LU,10883,3270,2116,9686,2939,1778,2.15
537,Canons Park,5898,2496,1518,5817,2436,1544,1.25
538,Pontoon Dock,7104,3680,2644,7124,3605,2643,1.79
539,Chalfont & Latimer,3636,1253,751,3345,1325,848,0.74
540,Chalk Farm,10925,6081,3759,9327,4833,3099,2.2
541,Chancery Lane,26267,4969,2540,28935,5482,2595,5.47
542,Embankment,36904,21927,14531,36059,21708,13218,8.25
543,Chesham,2570,911,542,2401,823,493,0.51
544,Chigwell,1073,262,143,894,236,143,0.19
545,Chiswick Park,4500,1955,1224,4953,1967,1362,1.01
546,Chorleywood,4347,1427,1070,3219,1015,893,0.8
547,Clapham Common,20955,10638,6796,22344,11677,7162,4.71
548,Clapham North,15276,7733,4636,15159,7985,4633,3.27
549,Clapham South,17919,7920,5016,16855,7222,5211,3.76
550,Cockfosters,3689,2128,1605,3680,2033,1755,0.84
551,Colindale,16711,6672,4785,15850,6080,4643,3.43
552,Colliers Wood,14548,6606,4540,13561,5804,4447,3.02
553,Covent Garden,28554,19274,12925,36167,26935,15625,7.48
554,Croxley,2462,747,403,2397,695,434,0.49
555,Dagenham East,7597,2596,1774,7053,2427,1636,1.5
556,Dagenham Heathway,14226,4753,3164,14092,4630,3148,2.87
557,Debden,5591,1876,1055,5362,1732,1047,1.11
558,Dollis Hill,9357,3697,2659,8367,3156,2440,1.87
559,West Silvertown,6149,2564,1818,6176,2623,1873,1.51
560,Ealing Broadway,32491,14070,9638,32579,13761,9830,6.93
560,Ealing Broadway,5600,2435,1650,6298,2616,1869,1.37
561,Ealing Common,6088,2769,1889,6132,2708,1920,1.31
562,Earl's Court,38484,18993,13482,39352,19230,12596,8.4
563,East Acton,5945,2099,1450,6872,2340,1829,1.33
564,Eastcote,5886,2223,1254,5779,2082,1263,1.19
565,East Finchley,13738,5486,3482,13040,4960,3554,2.81
566,East Ham,29113,10840,7568,28299,10302,7485,5.97
567,East Putney,14047,6149,4006,13776,5800,4229,3.01
568,Edgware,10550,4277,3192,10779,4278,3267,2.28
569,Edgware Road (DIS),13611,5367,3557,13444,5452,3410,2.84
570,Elephant & Castle LU,37991,17986,11589,36480,16661,11102,7.88
571,Elm Park,7038,2134,1438,6786,2082,1499,1.41
572,Epping,8674,3981,2493,9129,3567,2469,1.89
573,Woolwich Arsenal,36241,14940,10140,34453,13856,10366,8.49
574,Euston LU,69876,38383,29978,73823,38966,31863,15.88
575,Euston Square,25027,8134,6436,26682,8327,6644,5.26
576,Fairlop,2623,1061,684,2507,1057,685,0.54
577,Farringdon,42941,9730,5382,41992,9854,4666,8.5
578,Finchley Central,17310,6265,3771,16818,5630,4102,3.52
579,Finchley Road,19383,7640,5628,18089,7089,5354,3.91
580,Finsbury Park,69326,33227,19187,62447,25964,18382,14.05
581,Fulham Broadway,19740,8297,5280,19801,8245,5044,4.15
582,Gants Hill,14013,5212,3603,13234,4915,3545,2.84
583,Gloucester Road,31514,14568,11117,33144,16062,11007,6.97
584,Golders Green,15932,5961,4736,15704,5725,4761,3.33
585,Goldhawk Road,4660,2157,1296,4335,1922,1301,0.95
586,Goodge Street,11819,4017,2374,13324,4341,2316,2.54
587,Grange Hill,1264,369,213,1033,303,189,0.23
588,Great Portland Street,13350,3855,2428,13607,3784,2254,2.69
589,Greenford,10079,3562,2192,9952,3379,2244,2.05
590,Green Park,68018,27178,19061,81716,34823,23204,15.94
591,Gunnersbury,9507,3420,2386,9040,3260,2303,1.97
591,Gunnersbury,3496,1870,1829,4087,1899,1010,0.97
592,Hainault,8645,2921,1861,8366,2824,1902,1.73
593,Hammersmith (DIS),50829,21475,14652,50588,21002,14451,10.8
594,Hampstead,9283,4027,3252,10367,4411,3720,2.11
595,Hanger Lane,7071,2714,1758,6913,2632,1732,1.47
596,Harlesden,3507,1325,620,3076,961,938,0.77
596,Harlesden,7849,2422,1468,7687,2331,1530,1.55
597,Harrow & Wealdstone,10488,3665,2338,9927,3246,2247,2.08
597,Harrow & Wealdstone,6392,2971,2353,8022,3187,3046,1.81
598,Harrow-on-the-Hill,22268,9094,6041,23372,9350,6375,4.76
599,Wood Lane,9323,5027,2902,10386,5649,3263,2.19
601,Hendon Central,14567,5211,3847,13575,4539,3574,2.93
602,High Barnet,9031,3383,2169,8644,3173,2212,1.83
603,Highbury & Islington,38065,18134,12115,39941,19140,13008,8.34
603,Highbury & Islington,48821,23730,16297,45368,22374,13523,12.29
604,Highgate,11432,4907,3215,11379,4750,3442,2.43
605,High Street Kensington,20641,10068,6738,20505,9537,5570,4.45
606,Hillingdon,3734,1559,951,3421,1416,961,0.75
607,Holborn,50731,20062,12874,56635,21949,13213,11.25
608,Holland Park,7793,2905,1974,7587,2917,2010,1.62
609,Holloway Road,14105,5161,3671,13747,4830,3748,2.88
610,Hornchurch,4620,1413,860,4612,1486,897,0.93
611,Hounslow Central,7192,2904,2180,7131,2864,2195,1.52
612,Hounslow East,8072,3486,2668,8421,3516,2755,1.77
613,Hounslow West,7065,3205,2535,7074,3174,2689,1.55
614,Hyde Park Corner,8379,3913,3307,8572,4250,3217,1.88
615,Ickenham,2389,888,450,2372,859,486,0.48
616,Kennington,11636,5725,4020,11032,5648,4258,2.49
617,Kensal Green,5306,2175,1385,4856,1906,1412,1.07
617,Kensal Green,1577,676,496,1929,858,714,0.44
618,Kensington (Olympia),6717,1192,1185,7343,1272,1292,1.59
618,Kensington (Olympia),40,220,261,62,139,168,0.03
619,Kentish Town,18267,7271,4734,17056,6512,4742,3.71
620,Kenton,1918,516,494,2506,465,416,0.5
620,Kenton,4617,1632,1051,4592,1612,1079,0.95
621,Kew Gardens,3693,1578,1361,3336,1548,1072,0.89
621,Kew Gardens,9470,5346,4154,9243,5225,4075,2.15
622,Kilburn,15793,7042,5063,14959,6507,5008,3.3
623,Kilburn Park,6734,3112,2050,6194,2762,1999,1.38
624,Kingsbury,10120,3580,2464,9957,3458,2448,2.07
625,King's Cross St. Pancras,163355,89501,69804,167680,89126,71425,36.73
626,Knightsbridge,33517,18733,12581,33044,17699,12028,7.45
627,Ladbroke Grove,12226,6736,3705,12201,6554,3611,2.65
628,Lambeth North,6016,3178,2362,5632,2826,1944,1.29
629,Lancaster Gate,12139,6081,4795,12060,5718,4427,2.67
630,Latimer Road,5286,1787,1305,5028,1687,1305,1.08
631,Leicester Square,68431,53557,34717,69200,55778,33253,16.35
632,Leyton,25341,11669,7559,23623,10757,7459,5.29
633,Leytonstone,20453,8310,5741,19931,8122,5835,4.26
634,Liverpool Street LU,119983,53937,35096,127720,58555,38634,26.6
635,London Bridge LU,143817,73043,47535,139261,68768,45522,30.86
636,Loughton,7589,3141,1900,7734,3053,1971,1.61
637,Maida Vale,7059,3043,2023,6470,2657,1961,1.43
638,Manor House,17123,7947,6056,16087,7208,5820,3.59
639,Mansion House,9752,2716,1718,10277,2835,1575,2.09
640,Marble Arch,23648,11143,8060,23011,10792,7764,5.24
641,Marylebone LU,20353,9673,7064,21483,10185,7585,4.6
642,Mile End,32522,13318,9551,31062,12549,9668,6.64
643,Mill Hill East,4119,1208,820,3406,1056,918,0.76
645,Moorgate,41420,8851,5404,45681,10244,5802,8.79
646,Moor Park,2466,560,320,2383,568,359,0.46
647,Morden,21181,9364,6287,20115,8665,6108,4.42
648,Mornington Crescent,7002,3050,1789,6338,2179,1373,1.43
649,Neasden,7964,2817,1909,7282,2591,1857,1.56
650,Newbury Park,11243,4233,2969,9962,3725,2790,2.22
653,North Acton,15446,5745,3882,14957,5394,3927,3.15
654,North Ealing,1831,644,410,1704,606,400,0.36
655,Northfields,7695,3102,2223,7628,3173,2384,1.63
656,North Harrow,3887,1279,746,3651,1200,762,0.77
657,Northolt,12209,4695,3044,11615,4282,2986,2.47
659,North Wembley,1427,439,317,1310,392,316,0.31
659,North Wembley,3945,1346,904,3716,1225,891,0.78
660,Northwick Park,9384,2779,1855,9013,2623,1870,1.84
661,Northwood,6384,2041,1220,6302,1906,1220,1.27
662,Northwood Hills,4235,1430,873,4047,1326,898,0.83
663,Notting Hill Gate,28471,15913,9544,28931,17094,10003,6.4
664,Oakwood,5769,2963,2031,5862,3011,2157,1.29
665,Old Street,44559,18726,11628,47723,21652,11427,9.64
667,Osterley,4215,1915,1335,4120,1784,1369,0.91
668,Oval,15157,6537,4546,14261,5892,4371,3.13
669,Oxford Circus,138578,68293,43807,161423,90459,49947,32.86
670,Paddington TfL,92637,47618,37271,93217,46532,36045,20.44
671,Park Royal,4387,1682,1101,4573,1722,1039,0.92
672,Parsons Green,14673,5486,3483,14033,4912,3422,2.99
673,Perivale,5281,1886,1200,5206,1849,1243,1.08
674,Piccadilly Circus,61498,40419,26575,62471,42820,23694,14.14
675,Pinner,6257,2478,1627,5858,2451,1633,1.28
676,Plaistow,13590,4445,3151,12647,4123,3155,2.67
677,Preston Road,6785,2502,1711,6614,2437,1757,1.39
678,Putney Bridge,12097,5497,3519,13027,5358,3569,2.69
679,Queensbury,8965,3328,2119,8822,3145,2093,1.84
680,Queen's Park,11608,4941,3334,10770,4513,3316,2.38
680,Queen's Park,4477,1969,1539,4445,1708,1631,1.1
681,Queensway,15990,9196,6787,16549,9357,6436,3.62
682,Ravenscourt Park,7617,2727,1830,7486,2543,1820,1.53
683,Rayners Lane,8634,3344,2141,8496,3301,2164,1.78
684,Redbridge,6148,2585,1776,5628,2283,1705,1.26
685,Regent's Park,5609,1843,1199,6816,2367,1528,1.27
686,Richmond,10148,4413,4376,10295,4138,5071,2.2
686,Richmond,8719,4621,5013,9160,4780,5425,2.43
687,Rickmansworth,5634,1766,1008,5447,1709,1044,1.1
688,Roding Valley,587,198,120,884,299,129,0.16
690,Royal Oak,5794,2247,1646,5403,2117,1633,1.19
691,Ruislip,3977,1604,858,4035,1583,885,0.82
692,Ruislip Gardens,2411,954,561,2170,825,566,0.48
693,Ruislip Manor,4136,1683,842,4125,1556,895,0.84
694,Russell Square,17239,6798,5141,17842,6824,4805,3.66
695,St. James's Park,18549,5216,3768,19168,5504,3833,3.9
696,St. John's Wood,16831,5877,4047,17062,5860,4227,3.46
697,St. Paul's,25411,8457,5553,26138,8374,5085,5.36
698,Seven Sisters,35356,15130,11294,34021,14343,10955,7.36
698,Seven Sisters,22122,9463,7066,20111,8477,6475,5.13
700,Shepherd's Bush LU,35662,19128,12404,33344,17505,11333,7.58
702,Sloane Square,34515,15356,9790,34628,15911,9765,7.38
703,Snaresbrook,5287,2108,1330,4961,1928,1406,1.08
704,South Ealing,7187,2888,1917,7015,2848,2047,1.5
705,Southfields,13046,5390,3396,12147,4789,3404,2.7
706,Southgate,10640,4618,3275,11198,4690,3478,2.31
707,South Harrow,4819,1807,1227,4999,1795,1268,1.01
708,South Kensington,49504,23718,17939,49608,24357,17648,10.82
709,South Kenton,868,358,531,1388,484,567,0.28
709,South Kenton,2752,1204,772,3475,1076,867,0.63
710,South Ruislip,4333,1635,1109,4196,1577,1129,0.89
711,South Wimbledon,9328,3785,2563,8969,3568,2561,1.94
712,South Woodford,11119,4617,2898,11431,4555,3027,2.38
713,Stamford Brook,5913,2480,1653,5590,2271,1624,1.22
714,Stanmore,8041,3730,2358,8086,3464,2599,1.73
715,Stepney Green,13518,4832,3429,12986,4469,3375,2.71
716,Stockwell,22530,10691,7425,20064,9445,7027,4.61
717,Stonebridge Park,6312,2053,1322,5968,1914,1310,1.24
717,Stonebridge Park,2048,422,287,2012,406,277,0.44
718,Charing Cross LU,31678,20095,12017,31711,17935,10603,7.15
719,Stratford,40810,24687,25297,38162,23061,24595,11.12
719,Stratford,42389,21501,14128,38094,18697,12293,9.98
719,Stratford,53883,30133,19926,56807,30003,19397,13.23
719,Stratford,129612,71770,48381,132399,72426,48352,29.11
720,Sudbury Hill,4361,1564,969,4368,1478,997,0.89
721,Sudbury Town,4232,1617,1082,3804,1402,1002,0.84
723,Swiss Cottage,14664,5612,3781,14075,5303,3727,3.0
724,Temple,14330,4320,2452,16506,4864,2693,3.07
725,Theydon Bois,2036,930,526,1923,897,566,0.42
726,Tooting Bec,17561,7924,5014,15973,6914,5103,3.61
727,Tooting Broadway,33102,14569,9305,32229,13551,9294,6.89
728,Tottenham Court Road,69964,44163,24047,73070,43807,23634,16.04
729,Tottenham Hale LU,33087,15214,13331,32250,14189,11801,7.12
730,Totteridge & Whetstone,5177,2102,1311,4990,1954,1303,1.06
731,Tower Hill,32020,18125,12759,33512,19408,11994,7.33
733,Tufnell Park,7401,3599,2403,6581,3184,2276,1.54
734,Turnham Green,12324,5375,3816,12638,5439,3977,2.66
735,Turnpike Lane,20986,9621,6942,20815,9048,6973,4.49
736,Upminster,10651,4085,2278,10704,4000,2392,2.21
736,Upminster,1417,488,185,1390,442,223,0.32
737,Upminster Bridge,2664,495,288,2647,484,308,0.51
738,Upney,6479,2045,1341,5871,1817,1237,1.24
739,Upton Park,23421,8904,6062,22302,8333,5965,4.78
740,Uxbridge,17416,6312,3911,16846,5901,4039,3.49
741,Victoria LU,150993,76219,52526,153602,74958,55658,33.48
742,Walthamstow Central,11218,4941,3340,9599,6580,4612,2.7
742,Walthamstow Central,37206,16383,11064,36874,15956,11411,7.91
743,Wanstead,5357,2446,1654,5675,2463,1697,1.18
745,Warren Street,34274,9750,6907,36186,9706,6713,7.04
746,Warwick Avenue,8044,3458,2296,7590,3300,2443,1.67
747,Waterloo LU,135687,71410,41205,136355,72898,44255,29.87
748,Watford,4822,1426,874,4845,1447,898,0.96
749,Stratford High Street,3705,1381,1042,3749,1380,1085,0.89
750,Abbey Road,3323,1326,1012,3250,1332,1039,0.8
751,Wembley Central,12419,5557,3516,13210,5677,3605,2.71
751,Wembley Central,3553,2346,1376,3817,2012,1133,0.99
752,Wembley Park,37506,18391,12475,37053,17868,11983,7.89
753,West Acton,3507,1334,812,3328,1239,841,0.71
754,Westbourne Park,9156,3490,2225,8494,3220,2234,1.82
755,West Brompton,8105,3847,2804,8373,4123,2723,2.08
755,West Brompton,12731,6042,3728,12533,5733,3360,2.73
756,West Finchley,3513,1303,879,3222,1150,862,0.71
757,West Ham,9161,3326,2497,7811,3075,2188,2.01
757,West Ham,13553,4283,3173,13521,4139,3110,2.72
758,West Hampstead LU,21895,9311,6265,20109,8423,5888,4.47
759,West Harrow,2623,1055,676,2807,1129,865,0.56
760,West Kensington,9905,4311,3202,9008,3591,2996,2.03
761,Westminster,32897,16572,12037,34729,17146,11840,7.7
762,West Ruislip,3325,1438,825,3393,1363,823,0.71
763,Whitechapel,29798,12860,11771,29015,13063,11939,7.58
763,Whitechapel,30706,9968,6934,30442,10053,7019,6.21
764,White City,22100,8191,5393,21373,8056,5412,4.62
765,Willesden Green,16272,6748,4885,15678,6143,4808,3.38
766,Willesden Junction,12960,4838,3147,12511,4523,3178,2.63
766,Willesden Junction,24951,8556,3795,26829,9497,4768,6.07
767,Wimbledon,32532,14063,8423,33735,14561,9069,7.06
768,Wimbledon Park,4955,2115,1257,4884,2038,1344,1.05
769,Woodford,12765,5441,3378,12273,4924,3330,2.66
770,Wood Green,25774,12284,8393,24795,11952,8259,5.43
771,Woodside Park,7118,2762,1868,11901,4509,3682,2.02
773,Hammersmith (H&C),20728,8729,5647,19295,8120,5156,4.23
