NLC,Estacion,Entradas_semana,Entradas_sabado,Entradas_domingo,Salidas_semana,Salidas_sabado,Salidas_domingo,Entradas_salidas_anual_millones
500,Acton Town,"6,8516,899","5,657","3,961","6,8866,691","5,559","4,174","2,902,697"
501,Barbican,"8,7787,849","4,749","3,030","9,3778,407","5,183","3,168","3,467,856"
502,Aldgate,"8,0386,690","5,035","3,585","9,6558,611","7,453","4,595","3,525,128"
503,Aldgate East,"12,75113,270","13,617","9,980","11,98412,882","12,951","8,261","5,611,130"
504,Stratford International DLR,"5,6095,856","5,079","3,662","4,8105,257","4,600","3,488","2,623,668"
505,Alperton,"3,1093,121","2,543","1,654","3,3473,325","2,537","1,732","1,345,253"
506,Amersham,"2,3842,249","1,745","1,089","2,3152,175","1,545","1,063","946,577"
507,Angel,"16,23417,601","14,286","9,694","17,20519,337","15,229","9,890","7,258,744"
508,Archway,"9,87810,130","8,148","5,549","9,3189,051","7,017","5,273","4,027,456"
509,Arnos Grove,"4,6864,832","4,257","3,067","4,3474,373","3,835","2,955","1,963,343"
510,Arsenal,"2,8473,151","2,911","2,050","2,5212,540","2,454","2,036","1,209,093"
511,Baker Street,"26,48126,299","20,714","14,374","26,85227,029","21,177","14,622","11,147,642"
512,Balham LU,"11,98012,553","12,223","7,520","12,59812,105","11,728","7,755","5,356,512"
513,Bank and Monument,"47,85235,146","19,494","11,930","50,70738,873","22,558","12,430","17,657,529"
513,Bank and Monument,"24,93721,964","17,643","13,154","29,12525,589","21,435","14,979","12,475,324"
514,Barking,"4,1924,847","3,675","2,709","4,2594,390","3,165","2,463","2,081,131"
514,Barking,"22,40122,524","17,313","11,593","22,25822,302","16,920","11,482","9,272,519"
515,Barkingside,"1,5861,536","1,046",671,"1,6651,568","1,068",707,"647,203"
516,Barons Court,"7,2686,988","5,245","3,668","7,0246,394","4,663","3,691","2,900,237"
517,Bayswater,"3,0513,529","4,188","3,249","2,9873,547","4,046","2,677","1,498,957"
518,Becontree,"4,4254,394","3,042","1,905","4,3264,212","2,832","1,895","1,759,768"
519,Belsize Park,"6,4656,449","4,499","3,351","6,3326,014","4,253","3,272","2,609,939"
520,Bethnal Green LU,"14,52515,583","14,334","10,276","13,77114,582","13,756","9,733","6,322,604"
521,Blackfriars LU,"12,19910,286","8,879","6,667","11,6679,929","7,897","6,099","4,795,990"
