NLC,Estacion,Entradas_semana,Entradas_sabado,Entradas_domingo,Salidas_semana,Salidas_sabado,Salidas_domingo,Entradas_salidas_anual_millones
501.0,Barbican,17136.0,6241.0,4267.0,17189.0,6432.0,4332.0,9.85
502.0,Aldgate,12031.0,2384.0,1946.0,11942.0,3471.0,2760.0,6.65
503.0,Aldgate East,16210.0,11047.0,10285.0,15070.0,9593.0,9154.0,10.13
505.0,Alperton,4450.0,3193.0,2264.0,4612.0,3189.0,2290.0,2.89
506.0,Amersham,3387.0,1675.0,1133.0,3708.0,1703.0,1024.0,2.1
507.0,Angel,28693.0,23305.0,13610.0,28832.0,23916.0,12990.0,18.58
508.0,Archway,13318.0,9381.0,5879.0,12385.0,7685.0,5458.0,8.06
509.0,Arnos Grove,6759.0,5165.0,3124.0,6269.0,4549.0,2886.0,4.16
510.0,Arsenal,4857.0,4290.0,2815.0,4159.0,3633.0,2685.0,3.02
511.0,Baker Street,45141.0,28647.0,21137.0,43559.0,26954.0,19743.0,27.74
512.0,Balham,19022.0,14215.0,8657.0,18398.0,13029.0,8634.0,11.9
513.0,Bank & Monument,88894.0,22224.0,9886.0,86366.0,21541.0,9324.0,47.75
514.0,Barking,23627.0,15706.0,11133.0,22558.0,14351.0,10341.0,14.51
515.0,Barkingside,1944.0,913.0,568.0,1840.0,902.0,568.0,1.12
516.0,Barons Court,11779.0,6683.0,4431.0,10715.0,5196.0,4060.0,6.81
517.0,Bayswater,7809.0,8524.0,7222.0,7520.0,8089.0,6333.0,5.54
518.0,Becontree,4802.0,2922.0,1709.0,4483.0,2696.0,1620.0,2.84
519.0,Belsize Park,10133.0,5473.0,3931.0,8916.0,5023.0,3550.0,5.81
520.0,Bethnal Green,23880.0,18788.0,13491.0,21915.0,17702.0,13158.0,15.06
521.0,Blackfriars,16297.0,6486.0,5053.0,15935.0,5257.0,3707.0,9.28
522.0,Blackhorse Road,11956.0,8903.0,5879.0,10879.0,7642.0,5417.0,7.3
524.0,Bond Street,59698.0,48080.0,27806.0,58719.0,46439.0,26273.0,38.07
